500 V Cs-137 (CoC) n#1,500 V Cs-137 (CoC) N#1,700 V Cs-137 (CoC) n#2,700 V Cs-137 (CoC) N#2,700 V Cs-137 (EoC) n#3,700 V Cs-137 (EoC) N#3,700 V Am-241 (CoC) n#4,700 V Am-241 (CoC) N#4,800 V Am-241 (CoC) n#5,800 V Am-241 (CoC) N#5,800 V Cs-137 (CoC) n#6,800 V Cs-137 (CoC) N#6,800 V Co-57 (CoC) n#7,800 V Co-57 (CoC) N#7,800 V Co-60 (CoC) n#8,800 V Co-60 (CoC) N#8,800 V Ba-133 (CoC) n#9,800 V Ba-133 (CoC) N#9
278,0,,,,,,,,,,,,,,,,
279,0,,,,,,,,,,,,,,,,
280,1,,,,,,,,,,,,,,,,
281,0,,,,,,,,,,,,,,,,
282,0,,,,,,,,,,,,,,,,
283,0,,,,,,,,,,,,,,,,
284,0,,,,,,,,,,,,,,,,
285,0,,,,,,,,,,,,,,,,
286,0,,,,,,,,,,,,,,,,
287,0,,,,,,,,,,,,,,,,
288,0,,,,,,,,,,,,,,,,
289,0,,,,,,,,,,,,,,,,
290,0,,,,,,,,,,,,,,,,
291,0,,,,,,,,,,,,,,,,
292,0,,,,,,,,,,,,,,,,
293,0,,,,,,,,,,,,,,,,
294,0,,,,,,,,,,,,,,,,
295,0,,,,,,,,,,,,,,,,
296,0,,,,,,,,,,,,,,,,
297,0,,,,,,,,,,,,,,,,
298,0,,,,,,,,,,,,,,,,
299,0,,,,,,,,,,,,,,,,
300,0,,,,,,,,,,,,,,,,
301,0,,,,,,,,,,,,,,,,
302,1,,,,,,,,,,,,,,,,
303,0,,,,,,,,,,,,,,,,
304,0,,,,,,,,,,,,,,,,
305,0,,,,,,,,,,,,,,,,
306,0,,,,,,,,,,,,,,,,
307,0,,,,,,,,,,,,,,,,
308,0,,,,,,,,,,,,,,,,
309,0,,,,,,,,,,,,,,,,
310,0,,,,,,,,,,,,,,,,
311,0,,,,,,,,,,,,,,,,
312,0,,,,,,,,,,,,,,,,
313,0,,,,,,,,,,,,,,,,
314,0,,,,,,,,,,,,,,,,
315,0,,,,,,,,,,,,,,,,
316,0,,,,,,,,,,,,,,,,
317,0,,,,,,,,,,,,,,,,
318,0,,,,,,,,,,,,,,,,
319,0,,,,,,,,,,,,,,,,
320,0,,,,,,,,,,,,,,,,
321,0,,,,,,,,,,,,,,,,
322,0,,,,,,,,,,,,,,,,
323,0,,,,,,,,,,,,,,,,
324,0,,,,,,,,,,,,,,,,
325,0,,,,,,,,,,,,,,,,
326,0,,,,,,,,,,,,,,,,
327,0,,,,,,,,,,,,,,,,
328,0,,,,,,,,,,,,,,,,
329,0,,,,,,,,,,,,,,,,
330,0,,,,,,,,,,,,,,,,
331,0,,,,,,,,,,,,,,,,
332,0,,,,,,,,,,,,,,,,
333,1,,,,,,,,,,,,,,,,
334,0,,,,,,,,,,,,,,,,
335,0,,,,,,,,,,,,,,,,
336,0,,,,,,,,,,,,,,,,
337,0,,,,,,,,,,,,,,,,
338,0,,,,,,,,,,,,,,,,
339,0,,,,,,,,,,,,,,,,
340,0,,,,,,,,,,,,,,,,
341,0,,,,,,,,,,,,,,,,
342,0,,,,,,,,,,,,,,,,
343,0,,,,,,,,,,,,,,,,
344,0,,,,,,,,,,,,,,,,
345,1,,,,,,,,,,,,,,,,
346,0,,,,,,,,,,,,,,,,
347,0,,,,,,,,,,,,,,,,
348,0,,,,,,,,,,,,,,,,
349,0,,,,,,,,,,,,,,,,
350,0,,,,,,,,,,,,,,,,
351,0,,,,,,,,,,,,,,,,
352,0,,,,,,,,,,,,,,,,
353,0,,,,,,,,,,,,,,,,
354,0,,,,,,,,,,,,,,,,
355,0,,,,,,,,,,,,,,,,
356,0,,,,,,,,,,,,,,,,
357,0,,,,,,,,,,,,,,,,
358,0,,,,,,,,,,,,,,,,
359,0,,,,,,,,,,,,,,,,
360,0,,,,,,,,,,,,,,,,
361,0,,,,,,,,,,,,,,,,
362,0,,,,,,,,,,,,,,,,
363,0,,,,,,,,,,,,,,,,
364,0,,,,,,,,,,,,,,,,
365,0,,,,,,,,,,,,,,,,
366,0,,,,,,,,,,,,,,,,
367,0,,,,,,,,,,,,,,,,
368,0,,,,,,,,,,,,,,,,
369,0,,,,,,,,,,,,,,,,
370,0,,,,,,,,,,,,,,,,
371,0,,,,,,,,,,,,,,,,
372,0,,,,,,,,,,,,,,,,
373,0,,,,,,,,,,,,,,,,
374,0,,,,,,,,,,,,,,,,
375,0,,,,,,,,,,,,,,,,
376,0,,,,,,,,,,,,,,,,
377,0,,,,,,,,,,,,,,,,
378,0,,,,,,,,,,,,,,,,
379,0,,,,,,,,,,,,,,,,
380,0,,,,,,,,,,,,,,,,
381,0,,,,,,,,,,,,,,,,
382,0,,,,,,,,,,,,,,,,
383,1,,,,,,,,,,,,,,,,
384,0,,,,,,,,,,,,,,,,
385,0,,,,,,,,,,,,,,,,
386,0,,,,,,,,,,,,,,,,
387,0,,,,,,,,,,,,,,,,
388,0,,,,,,,,,,,,,,,,
389,0,,,,,,,,,,,,,,,,
